SKU,Name,Description,Available_On,Discontinue_On,master_price,master_weight,shipping_category,meta_title,meta_description,old_product_id,old_product_url,products_stores,product_properties,taxons,images,variants,variant_sku,variant_price,variant_weight
NF-5362/ORG/E,"Root Beer Flavor Emulsion for High Heat Applications, Organic",<p>Organic&nbsp;Root Beer Flavor Emulsion for High Heat Applications<br />*<span>safrole free sassafras</span></p>,01/06/2022,,18.97,,Default,Organic Root Beer Flavor Emulsion,Root Beer Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Root Beer Organic Flavor Emulsion for High Heat Applications online today.,109875,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109875-root-beer-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/root-beer-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-5362/ORG/E-2oz|NF-5362/ORG/E-8oz|NF-5362/ORG/E-32oz|NF-5362/ORG/E-1gal|NF-5362/ORG/E-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-6911/ORG/E,"Rose Flavor Emulsion for High Heat Applications, Organic",<p>Organic Rose Flavor Emulsion for High Heat Applications</p>,01/06/2022,,18.97,,Default,Organic Rose Flavor Emulsion,Rose Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Rose Organic Flavor Emulsion for High Heat Applications online today.,109876,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109876-rose-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/rose-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-6911/ORG/E-2oz|NF-6911/ORG/E-8oz|NF-6911/ORG/E-32oz|NF-6911/ORG/E-1gal|NF-6911/ORG/E-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-6323/ORG/E,"Rum Flavor Emulsion for High Heat Applications, Organic",<p>Organic&nbsp;Rum Flavor Emulsion for High Heat Applications</p>,01/06/2022,,18.97,,Default,Organic Rum Flavor Emulsion,Rum Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Rum Organic Flavor Emulsion for High Heat Applications online today.,109877,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109877-rum-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/rum-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-6323/ORG/E-2oz|NF-6323/ORG/E-8oz|NF-6323/ORG/E-32oz|NF-6323/ORG/E-1gal|NF-6323/ORG/E-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-8091,"Sangria Flavor Emulsion for High Heat Applications, Organic",<p>Organic&nbsp;Sangria Flavor Emulsion for High Heat Applications</p>,01/06/2022,,18.97,,Default,Organic Sangria Flavor Emulsion,Sangria Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Sangria Organic Flavor Emulsion for High Heat Applications online today.,109878,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109878-sangria-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/sangria-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-8091-2oz|NF-8091-8oz|NF-8091-32oz|NF-8091-1gal|NF-8091-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-8092,"Sarsaparilla Flavor Emulsion for High Heat Applications, Organic",<p>Organic&nbsp;Sarsaparilla Flavor Emulsion for High Heat Applications</p>,01/06/2022,,18.97,,Default,Organic Sarsaparilla Flavor Emulsion,Sarsaparilla Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Sarsaparilla Organic Flavor Emulsion for High Heat Applications online today.,109879,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109879-sarsaparilla-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/sarsaparilla-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-8092-2oz|NF-8092-8oz|NF-8092-32oz|NF-8092-1gal|NF-8092-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-7181,"Sassafras Flavor Emulsion for High Heat Applications, Organic",<p>Organic&nbsp;Sassafras Flavor Emulsion for High Heat Applications<br />*safrole free sassafras</p>,01/06/2022,,18.97,,Default,Organic Sassafras Flavor Emulsion,Sassafras Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Sassafras Organic Flavor Emulsion for High Heat Applications online today.,109880,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109880-sassafras-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/sassafras-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-7181-2oz|NF-7181-8oz|NF-7181-32oz|NF-7181-1gal|NF-7181-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-6256/ORG/E,"Spearmint Flavor Emulsion for High Heat Applications, Organic",<p>Organic&nbsp;Spearmint Flavor Emulsion for High Heat Applications</p>,01/06/2022,,18.97,,Default,Organic Spearmint Flavor Emulsion,Spearmint Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Spearmint Organic Flavor Emulsion for High Heat Applications online today.,109881,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109881-spearmint-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/spearmint-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-6256/ORG/E-2oz|NF-6256/ORG/E-8oz|NF-6256/ORG/E-32oz|NF-6256/ORG/E-1gal|NF-6256/ORG/E-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-7090,"Spice Flavor Emulsion for High Heat Applications, Organic",<p>Organic&nbsp;Spice Flavor Emulsion for High Heat Applications</p>,01/06/2022,,18.97,,Default,Organic Spice Flavor Emulsion,Spice Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Spice Organic Flavor Emulsion for High Heat Applications online today.,109882,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109882-spice-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/spice-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-7090-2oz|NF-7090-8oz|NF-7090-32oz|NF-7090-1gal|NF-7090-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-6935/ORG/E,"Spiced Apple Flavor Emulsion for High Heat Applications, Organic",<p>Organic Spiced Apple Flavor Emulsion for High Heat Applications</p>,01/06/2022,,18.97,,Default,Organic Spiced Apple Flavor Emulsion,Spiced Apple Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Spiced Apple Organic Flavor Emulsion for High Heat Applications online today.,109883,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109883-spiced-apple-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/spiced-apple-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-6935/ORG/E-2oz|NF-6935/ORG/E-8oz|NF-6935/ORG/E-32oz|NF-6935/ORG/E-1gal|NF-6935/ORG/E-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
NF-9968/ORG/E,"Strawberry Flavor Emulsion for High Heat Applications, Organic",<p>Organic&nbsp;Strawberry Flavor Emulsion for High Heat Applications</p>,01/06/2022,,18.97,,Default,Organic Strawberry Flavor Emulsion,Strawberry Organic Flavor Emulsion for High Heat Applications  Natures Flavors  The finest organic and Natural ingredients. Buy Strawberry Organic Flavor Emulsion for High Heat Applications online today.,109884,http://www.naturesflavors.com/organic-flavor-emulsions-heat-stable/109884-strawberry-flavor-emulsion-organic.html,Nature's Flavors,"Ingredient Statement:Organic Emulsions Contain Water, Organic Gum Acacia, Natural Flavors, and Organic Citric Acid",PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Emulsions:273>Organic Flavor Emulsions (Heat Stable):83,migration/images/products/strawberry-flavor-emulsion-organic.jpg,"Choose your option:2 oz.,8 oz.,32 oz.,1 gal.,5 gal.",NF-9968/ORG/E-2oz|NF-9968/ORG/E-8oz|NF-9968/ORG/E-32oz|NF-9968/ORG/E-1gal|NF-9968/ORG/E-5gal,18.97|31.74|63.48|190.44|912.53,0.38|2.00|3.00|10.00|60.00
