SKU,Name,Description,Available_On,Discontinue_On,master_price,shipping_category,meta_title,meta_description,old_product_id,old_product_url,products_stores,product_properties,taxons,images,variants,variant_sku,variant_price,variant_weight
NF-3691/NAT/G/L,Grape Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Grape Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Grape Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102197,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102197-grape-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/grape-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-3691/NAT/G/L-32oz|NF-3691/NAT/G/L-8oz|NF-3691/NAT/G/L-1gal|NF-3691/NAT/G/L-5gal|NF-3691/NAT/G/L-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-2624,Grapefruit Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Grapefruit Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Grapefruit Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102207,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102207-grapefruit-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/grapefruit-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-2624-32oz|NF-2624-8oz|NF-2624-1gal|NF-2624-5gal|NF-2624-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-3513,Green Tea Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Green Tea Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Green Tea Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102217,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102217-green-tea-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/green-tea-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-3513-32oz|NF-3513-8oz|NF-3513-1gal|NF-3513-5gal|NF-3513-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-4856,Grenadine Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Grenadine Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Grenadine Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102227,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102227-grenadine-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/grenadine-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-4856-32oz|NF-4856-8oz|NF-4856-1gal|NF-4856-5gal|NF-4856-2oz,37.82|26.18|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-3954,Guava Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Guava Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Guava Flavor Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102237,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102237-guava-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/guava-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-3954-32oz|NF-3954-8oz|NF-3954-1gal|NF-3954-5gal|NF-3954-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-3430,Hazelnut Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Hazelnut Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Hazelnut Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102247,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102247-hazelnut-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/hazelnut-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-3430-32oz|NF-3430-8oz|NF-3430-1gal|NF-3430-5gal|NF-3430-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-3761/3644,Hibiscus Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Hibiscus Flavor Oil for Lip Balm,Hibiscus Flavor Oil for Lip Balm. The finest organic and natural ingredients. Flavor the way nature intended!,102257,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102257-hibiscus-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/hibiscus-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-3761/3644-32oz|NF-3761/3644-8oz|NF-3761/3644-1gal|NF-3761/3644-5gal|NF-3761/3644-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-5107/NAT/L,Honey Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Honey Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Honey Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102267,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102267-honey-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/honey-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-5107/NAT/L-32oz|NF-5107/NAT/L-8oz|NF-5107/NAT/L-1gal|NF-5107/NAT/L-5gal|NF-5107/NAT/L-2oz,37.82|26.18|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-7395/NAT/L,Honeydew Melon Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Honeydew Melon Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Honeydew Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102277,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102277-honeydew-melon-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/honeydew-melon-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-7395/NAT/L-32oz|NF-7395/NAT/L-8oz|NF-7395/NAT/L-1gal|NF-7395/NAT/L-5gal|NF-7395/NAT/L-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-8471,Irish Cream Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Irish Cream Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Irish Cream Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102287,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102287-irish-cream-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/irish-cream-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-8471-32oz|NF-8471-8oz|NF-8471-1gal|NF-8471-5gal|NF-8471-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
NF-3504/NAT/L,Key Lime Flavor Oil for Lip Balm,,01/06/2022,,37.82,Default,Key Lime Flavor Oil for Lip Balm,Savor the flavor nature intended. Our Key Lime Flavor Oil for Lip Balm is made to order with only the finest natural ingredients. Buy today!,102297,http://www.naturesflavors.com/natural-flavor-oil-for-lip-balm/102297-key-lime-flavor-oil-for-lip-balm.html,Nature's Flavors,Ingredient Statement:Natural Flavor Oils Contain Sunflower Oil and Natural Flavors,PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Natural Flavor Oil for Lip Balm:90|PRODUCTS:-1>Extracts & Flavorings:9>Flavoring for Lip Balm:286>Organic Flavor Oil for Lip Balm:72|PRODUCTS:-1>Extracts & Flavorings:9>Flavor Oils:275>Organic Flavor Oil:71,migration/images/products/key-lime-flavor-oil-for-lip-balm.jpg,"Choose your option:32 oz.,8 oz.,1 gal.,5 gal.,2 oz.",NF-3504/NAT/L-32oz|NF-3504/NAT/L-8oz|NF-3504/NAT/L-1gal|NF-3504/NAT/L-5gal|NF-3504/NAT/L-2oz,37.82|26.19|130.93|654.56|17.38,3.00|2.00|10.00|50.00|0.38
