SKU,Name,Description,Available_On,Discontinue_On,master_price,shipping_category,meta_title,meta_description,old_product_id,old_product_url,products_stores,product_properties,taxons,images,variants,variant_sku,variant_price,variant_weight
NF-31016095,Peanut Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Peanut Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Peanut Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126919,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126919-peanut-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/peanut-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-31016095-12oz|NF-31016095-6oz,9.59|5.29,0.90|0.50
NF-9891,Pecan Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Pecan Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Pecan Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126920,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126920-pecan-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/pecan-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-9891-12oz|NF-9891-6oz,9.59|5.29,0.90|0.50
NF-9890,Pecan Praline Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Pecan Praline Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Pecan Praline Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126921,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126921-pecan-praline-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/pecan-praline-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-9890-12oz|NF-9890-6oz,9.59|5.29,0.90|0.50
NF-10052,Pepper Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Pepper Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Pepper Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126922,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126922-pepper-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/pepper-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-10052-12oz|NF-10052-6oz,9.59|5.29,0.90|0.50
NF-10327,Peppermint Lemongrass Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Peppermint Lemongrass Cotton Candy Floss Pre Packaged | NaturesFlavors,Flavor the way nature intended. Peppermint Lemongrass Cotton Candy Floss Pre Packaged with only the finest natural ingredients. Buy today!,126923,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126923-peppermint-lemongrass-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/peppermint-lemongrass-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-10327-12oz|NF-10327-6oz,9.59|5.29,0.90|0.50
NF-10295,Persimmon Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Persimmon Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Persimmon Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126924,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126924-persimmon-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/persimmon-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-10295-12oz|NF-10295-6oz,9.59|5.29,0.90|0.50
NF-9892,Pine Nut Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Pine Nut Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Pine Nut Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126925,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126925-pine-nut-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/pine-nut-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-9892-12oz|NF-9892-6oz,9.59|5.29,0.90|0.50
NF-9840,Pine Smoke Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Pine Smoke Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Pine Smoke Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126926,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126926-pine-smoke-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/pine-smoke-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-9840-12oz|NF-9840-6oz,9.59|5.29,0.90|0.50
NF-10296/NAT,Pink Grapefruit Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Pink Grapefruit Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Pink Grapefruit Cotton Candy Floss (Pre Packaged) with only the finest natural ingredients. Buy today!,126927,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126927-pink-grapefruit-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/pink-grapefruit-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-10296/NAT-12oz|NF-10296/NAT-6oz,9.59|5.29,0.90|0.50
NF-10331,Pinot Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Pinot Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Pinot Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126928,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126928-pinot-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/pinot-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-10331-12oz|NF-10331-6oz,9.59|5.29,0.90|0.50
NF-9841,Pistachio Cotton Candy (Ready to Eat),<p>Please Note: The sizing of our cotton candy is based on the amount of sugar used for production. The post-production weight will be less than the selected sizing.</p>,01/06/2022,,9.59,Default,Pistachio Cotton Candy Floss (Pre Packaged),Flavor the way nature intended. Pistachio Cotton Candy Floss (Pre Packaged) is made with only the finest natural ingredients. Buy today!,126929,http://www.naturesflavors.com/pre-packaged-cotton-candy-floss/126929-pistachio-cotton-candy-ready-to-eat.html,Nature's Flavors,,PRODUCTS:-1>More Products:8>Cotton Candy:67>Pre Packaged Cotton Candy Floss:237|PRODUCTS:-1>More Products:8>Cotton Candy:67|PRODUCTS:-1>More Products:8,migration/images/products/pistachio-cotton-candy-ready-to-eat.jpg,"Choose your option:12 oz.,6 oz.",NF-9841-12oz|NF-9841-6oz,9.59|5.29,0.90|0.50
