SKU,Name,Description,Available_On,Discontinue_On,master_price,shipping_category,meta_title,meta_description,old_product_id,old_product_url,products_stores,product_properties,taxons,images,variants,variant_sku,variant_price,variant_weight
NF-2973/NATI,"Cherry Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Cherry Italian Soda Syrup,"Cherry Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free, Feingold Accepted)  Natures Flavors  The finest organic and Natural ingredients. Buy Cherry Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free, Feingold Accepted) online today.",65035,http://www.naturesflavors.com/italian-soda-syrups/65035-cherry-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/cherry-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-2973/NATI-4gal|NF-2973/NATI-1gal|NF-2973/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-2092/NATI,"Cherry Vanilla Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Cherry Vanilla Italian Soda Syrup,"Cherry Vanilla Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free)  Natures Flavors  The finest organic and Natural ingredients. Buy Cherry Vanilla Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free) online today.",65037,http://www.naturesflavors.com/italian-soda-syrups/65037-cherry-vanilla-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/cherry-vanilla-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-2092/NATI-4gal|NF-2092/NATI-1gal|NF-2092/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-7950/NATI,"Chocolate Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Chocolate Italian Soda Syrup,"Chocolate Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free)  Natures Flavors  The finest organic and Natural ingredients. Buy Chocolate Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free) online today.",65039,http://www.naturesflavors.com/italian-soda-syrups/65039-chocolate-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/chocolate-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-7950/NATI-4gal|NF-7950/NATI-1gal|NF-7950/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-4637/NATI,"Cinnamon Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Cinnamon Italian Soda Syrup,"Cinnamon Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free)  Natures Flavors  The finest organic and Natural ingredients. Buy Cinnamon Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free) online today.",65041,http://www.naturesflavors.com/italian-soda-syrups/65041-cinnamon-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/cinnamon-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-4637/NATI-4gal|NF-4637/NATI-1gal|NF-4637/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-4638/NATI,"Coconut Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Coconut Italian Soda Syrup,"Coconut Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free)  Natures Flavors  The finest organic and Natural ingredients. Buy Coconut Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free) online today.",65044,http://www.naturesflavors.com/italian-soda-syrups/65044-coconut-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/coconut-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-4638/NATI-4gal|NF-4638/NATI-1gal|NF-4638/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-4939/NATI,"Coffee Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Coffee Italian Soda Syrup,"Coffee Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free)  Natures Flavors  The finest organic and Natural ingredients. Buy Coffee Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free) online today.",65045,http://www.naturesflavors.com/italian-soda-syrups/65045-coffee-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/coffee-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-4939/NATI-4gal|NF-4939/NATI-1gal|NF-4939/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-4521/NATI,"Cotton Candy Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Cotton Candy Italian Soda Syrup,"Cotton Candy Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free)  Natures Flavors  The finest organic and Natural ingredients. Buy Cotton Candy Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free) online today.",65047,http://www.naturesflavors.com/italian-soda-syrups/65047-cotton-candy-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/cotton-candy-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-4521/NATI-4gal|NF-4521/NATI-1gal|NF-4521/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-2105/NATI,"Cream Soda Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Cream Soda Italian Soda Syrup,"Cream Soda Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free)  Natures Flavors  The finest organic and Natural ingredients. Buy Cream Soda Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free) online today.",65049,http://www.naturesflavors.com/italian-soda-syrups/65049-cream-soda-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/cream-soda-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-2105/NATI-4gal|NF-2105/NATI-1gal|NF-2105/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-4564/NATI,"Grape Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Grape Italian Soda Syrup,"Grape Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free, Feingold Accepted)  Natures Flavors  The finest organic and Natural ingredients. Buy Grape Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free, Feingold Accepted) online today.",65051,http://www.naturesflavors.com/italian-soda-syrups/65051-grape-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/grape-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-4564/NATI-4gal|NF-4564/NATI-1gal|NF-4564/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
NF-4618/NATI,"Green Apple Italian Soda Syrup, Natural",,01/06/2022,,119.03,Default,Green Apple Italian Soda Syrup,"Green Apple Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free)  Natures Flavors  The finest organic and Natural ingredients. Buy Green Apple Flavored Italian Soda Syrup (Kosher, Vegan, Gluten Free) online today.",65053,http://www.naturesflavors.com/italian-soda-syrups/65053-green-apple-italian-soda-syrup-natural.html,Nature's Flavors,,PRODUCTS:-1>Syrups:5>Italian Soda Syrups:115,migration/images/products/green-apple-italian-soda-syrup-natural.jpg,"Choose your option:4 gal.,1 gal.,32 oz.",NF-4618/NATI-4gal|NF-4618/NATI-1gal|NF-4618/NATI-32oz,119.03|30.76|14.67,50.00|15.00|7.00
